FCUserRun1_1,Test@12345,NOT_FOUND(token),NOT_FOUND(message),NOT_FOUND(availablePts)
FCUserRun1_1,Test@12345,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI2Njk3YzBjMGUzNTM4NTdiMzhhMjExYTQiLCJsb2dJZCI6IjY2OTdjMGMwZTM1Mzg1N2IzOGEyMTFhMiIsInNlclR5cGUiOiJ1c2VyIiwiaWF0IjoxNzQyODQ0MjM2fQ.fril-3Q3uFFkb3WNDY--x63Q704gHe9zONgmz5r1vJM,Logged In Successfully,942.8199999999999
FCUserRun1_2,Test@12345,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI2Njk3YzBjMWUzNTM4NTdiMzhhMjExZTIiLCJsb2dJZCI6IjY2OTdjMGMxZTM1Mzg1N2IzOGEyMTFlMCIsInNlclR5cGUiOiJ1c2VyIiwiaWF0IjoxNzQyODQ0MjM3fQ.F0MoF3VCGHslWC68fUH514CWK8-yqpvKyyzPwmdSfOQ,Logged In Successfully,787.3599999999998
FCUserRun1_3,Test@12345,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI2Njk3YzBjMWUzNTM4NTdiMzhhMjEyMGEiLCJsb2dJZCI6IjY2OTdjMGMxZTM1Mzg1N2IzOGEyMTIwOCIsInNlclR5cGUiOiJ1c2VyIiwiaWF0IjoxNzQyODQ0MjM3fQ.PIu10E0Mvalfl9RAhrcYiaPlifJtYOiMbMopR68rp5o,Logged In Successfully,787.92
FCUserRun1_4,Test@12345,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI2Njk3YzBjMWUzNTM4NTdiMzhhMjEyNWIiLCJsb2dJZCI6IjY2OTdjMGMxZTM1Mzg1N2IzOGEyMTI1OSIsInNlclR5cGUiOiJ1c2VyIiwiaWF0IjoxNzQyODQ0MjM3fQ.biX_sAhV_fNEpPssRi2G-MXQuqMhWn26bcNMEAwNJPw,Logged In Successfully,787.3799999999999
FCUserRun1_5,Test@12345,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI2Njk3YzBjMmUzNTM4NTdiMzhhMjEyODQiLCJsb2dJZCI6IjY2OTdjMGMyZTM1Mzg1N2IzOGEyMTI4MiIsInNlclR5cGUiOiJ1c2VyIiwiaWF0IjoxNzQyODQ0MjM3fQ.s4MvjVggk_rR7ZCdQSNkGTdFJLPCiZBMhTx4StLvM-I,Logged In Successfully,791.9999999999999
FCUserRun1_7,Test@12345,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI2Njk3YzBjMmUzNTM4NTdiMzhhMjEyZGYiLCJsb2dJZCI6IjY2OTdjMGMyZTM1Mzg1N2IzOGEyMTJkZCIsInNlclR5cGUiOiJ1c2VyIiwiaWF0IjoxNzQyODQ0MjM3fQ.hGXd6tqUbbDOLCXuKZT6PRMt3500Ubo4XlCHkk9bS6c,Logged In Successfully,779.0199999999999
FCUserRun1_8,Test@12345,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI2Njk3YzBjMmUzNTM4NTdiMzhhMjEzMzkiLCJsb2dJZCI6IjY2OTdjMGMyZTM1Mzg1N2IzOGEyMTMzMyIsInNlclR5cGUiOiJ1c2VyIiwiaWF0IjoxNzQyODQ0MjM3fQ.QdXkFj6ZNxlr14I-X2KMZqamTpfZYoK4vSBVDo_y24A,Logged In Successfully,769.4199999999998
FCUserRun1_6,Test@12345,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI2Njk3YzBjMmUzNTM4NTdiMzhhMjEyZmIiLCJsb2dJZCI6IjY2OTdjMGMyZTM1Mzg1N2IzOGEyMTJmNSIsInNlclR5cGUiOiJ1c2VyIiwiaWF0IjoxNzQyODQ0MjM4fQ.yBimTKYwAY5JkTL6JAqaqFXaSR7vXJleEEZqQTmj2b4,Logged In Successfully,783.4399999999998
FCUserRun1_9,Test@12345,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI2Njk3YzBjM2UzNTM4NTdiMzhhMjEzOTIiLCJsb2dJZCI6IjY2OTdjMGMzZTM1Mzg1N2IzOGEyMTM4MiIsInNlclR5cGUiOiJ1c2VyIiwiaWF0IjoxNzQyODQ0MjM4fQ.C5L65lYTGlK5r_-Q6ggMhQ3U2DK6M_cy-ZoADmmynzE,Logged In Successfully,809.0199999999999
FCUserRun1_10,Test@12345,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI2Njk3YzBjM2UzNTM4NTdiMzhhMjEzYzMiLCJsb2dJZCI6IjY2OTdjMGMzZTM1Mzg1N2IzOGEyMTNjMCIsInNlclR5cGUiOiJ1c2VyIiwiaWF0IjoxNzQyODQ0MjM4fQ.s1OJKoH0Z5qAwm4-QcSnfnVdYBN6e_jJYnEp-IJ_Q4Y,Logged In Successfully,769.4599999999999
FCUserRun1_11,Test@12345,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI2Njk3YzBjM2UzNTM4NTdiMzhhMjEzYmIiLCJsb2dJZCI6IjY2OTdjMGMzZTM1Mzg1N2IzOGEyMTNiNiIsInNlclR5cGUiOiJ1c2VyIiwiaWF0IjoxNzQyODQ0MjM4fQ.YwOIoKt3ut2mxctfHj65-ylsxmDPJN4UvbC7JnGjU04,Logged In Successfully,847.96
FCUserRun1_12,Test@12345,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI2Njk3YzBjM2UzNTM4NTdiMzhhMjE0MGEiLCJsb2dJZCI6IjY2OTdjMGMzZTM1Mzg1N2IzOGEyMTQwOCIsInNlclR5cGUiOiJ1c2VyIiwiaWF0IjoxNzQyODQ0MjM4fQ.4XI8bvMU3xxKHyuc-dCXf6RB6NUo079zZc9ZAuv2aMA,Logged In Successfully,761.4
